[2025-03-24 13:49:29,700][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,007][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,073][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,075][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,078][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,079][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,079][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,085][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,085][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,094][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,096][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,113][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,117][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,118][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,118][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,136][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,138][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,250][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,275][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,276][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,281][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,285][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,287][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,288][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,289][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,289][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,291][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,292][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,292][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,293][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,293][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,296][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,297][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,297][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,298][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,297][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,300][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,300][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,300][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,302][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,303][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,304][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,306][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,306][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,306][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,306][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,308][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,308][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,309][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,310][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,310][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,311][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,311][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,311][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,312][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,312][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,313][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,314][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,314][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,313][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,314][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,315][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,316][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,315][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,317][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,317][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,316][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,317][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,318][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,318][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,318][__main__][ERROR] - Exited safely by ctrl+c.
[2025-03-24 13:58:18,320][__main__][ERROR] - Exited safely by ctrl+c.
